FID,SCHOOLNAME,Address,CITY,CUMULATIVE_COVID_Students,CUMULATIVE_COVID_Teachers,F30Day_Students,F30Day_Employees
428,Forest Lake Elementary,6801 Brookfield Road,Columbia,0,< 5,0,< 5
429,Forestbrook Elementary,4000 Panthers Parkway,Myrtle Beach,0,0,0,0
430,Forestbrook Middle,4430 Gator Lane,Myrtle Beach,< 5,0,< 5,0
431,Fork Shoals School,916 McKelvey Road,Pelzer,0,< 5,0,< 5
432,Fort Dorchester Elementary,5201 Old Glory Lane,Summerville,0,0,0,0
433,F. E. Dubose Career Center,3351 Sumter Highway,Manning,0,0,0,0
434,Fort Dorchester High,8500 Patriot Boulevard,North Charleston,0,< 5,0,< 5
435,Fort Mill Elementary,192 Springfield Parkway,Fort Mill,< 5,0,< 5,0
436,Fort Mill High,215 North Highway 21 Bypass,Fort Mill,< 5,0,< 5,0
437,Fort Mill Middle,200 Springfield Parkway,Fort Mill,0,0,0,0
438,Forts Pond Elementary,7350 Fish Hatchery Road,Pelion,< 5,< 5,< 5,< 5
439,Foster Park Elementary,901 Arthur Boulevard,Union,< 5,< 5,< 5,< 5
440,Fountain Inn Elementary,608 Fairview Street,Fountain Inn,0,0,0,0
441,Fox Creek Charter High,165 Shortcut Road,North Augusta,< 5,0,< 5,0
442,Devon Forest Elementary,1127 Dorothy Street,Goose Creek,0,0,0,0
443,Frances F. Mack Intermediate,161 Gaston Street,Gaston,0,0,0,0
444,Furman Middle,3400 Bethel Church Road,Sumter,0,< 5,0,< 5
445,Frank Russell Tech Ctr,601 East Northside Drive,Greenwood,0,0,0,0
446,Gadsden Elementary,1660 South Goodwin Circle,Gadsden,0,0,0,0
447,Gaffney High,149 Twin Lake Road,Gaffney,< 5,0,< 5,0
448,Gaffney Middle,805 East Frederick Street,Gaffney,< 5,< 5,< 5,0
449,Gallman Elementary,255 Hawkins Road,Newberry,0,< 5,0,< 5
450,Garrett Academy of Technology,2731 Gordon Street,North Charleston,0,0,0,0
451,Gateway Elementary,200 Hawkins Road,Travelers Rest,0,< 5,0,< 5
452,Geiger Elementary,150 T.M. Cook Road,Ridgeway,< 5,0,0,0
453,Georgetown High,2500 Anthuan Maybank Drive,Georgetown,0,0,0,0
454,Georgetown Middle,2400 Anthuan Maybank Drive,Georgetown,0,0,0,0
455,Gilbert Elementary,314 Main Street,Gilbert,< 5,0,< 5,0
456,Gilbert High,840 Main Street,Gilbert,0,< 5,0,< 5
457,Gilbert Middle,120 Rikard Circle,Gilbert,< 5,0,< 5,0
458,Glenview Middle,2575 Old Williamston Road,Anderson,0,< 5,0,< 5
459,Gloverville Elementary,114 Gloria Rush Circle,Gloverville,0,0,0,0
460,Gold Hill Elementary,1000 Dave Gibson Boulevard,Fort Mill,0,0,0,0
461,Gold Hill Middle,1025 Dave Gibson Boulevard,Fort Mill,0,0,0,0
462,Golden Strip Career & Tech Ctr,1120 East Butler Road,Greenville,0,0,0,0
463,Faith Christian School,337 Farmington Road,Summerville,0,0,0,0
464,Foxbank Elementary,169 Foxbank Plantation Blvd,Moncks Corner,0,< 5,0,< 5
465,John W. Moore Middle,191 Westfield Drive,Florence,0,0,0,0
466,Harold C. Johnson Elem,400 East Jefferson Street,York,0,0,0,0
467,Harrisburg Elementary,10251 Harrisburg Road,Indian Land,0,0,0,0
468,Hartsville High,701 Lewellyn Avenue,Hartsville,0,0,0,0
469,Hartsville Middle,1427 Fourteenth Street,Hartsville,0,0,0,0
470,Hamilton Career & Tech Center,445 Oconee Business Parkway,Westminster,0,< 5,0,0
471,Haut Gap Middle,1861 Bohicket Road,John's Island,0,0,0,0
472,Heath Springs Elementary,158 Solar Road,Heath Springs,0,0,0,0
473,HCS Early College High,2050 Highway 501 East Bldg. 400,Conway,0,0,0,0
474,HCS Scholars Academy,104 Chanticleer Drive East,Conway,0,0,0,0
475,Hemingway Career & Tech Ctr,1593 Hemingway Highway,Hemingway,0,0,0,0
476,Hemingway Elementary,160 Baxley Road,Hemingway,0,0,0,0
477,Hemingway High,402 South Main Street,Hemingway,0,0,0,0
478,Hemingway MB Lee Middle,400 South Main Street,Hemingway,< 5,0,< 5,0
479,Hendersonville Elementary,6089 Hendersonville Highway,Walterboro,0,0,0,0
480,Hanahan High,6015 Murray Drive,Hanahan,5,< 5,5,< 5
481,Hunter-Kinard-Tyler Elementary,7066 Norway Road,Neeses,0,0,0,0
482,Gordon Elementary,926 Perry Avenue,Dillon,0,0,0,0
483,Henry L. Sneed Middle,1102 Ebenezer Road,Florence,< 5,0,0,0
484,Henry Timrod Elementary,1901 East Old Marion Highway,Florence,0,0,0,0
485,Herbert A. Wood Elementary,737 Pine Ridge Drive,West Columbia,< 5,0,< 5,0
486,Heritage Elementary,1592 Geer Highway,Travelers Rest,0,< 5,0,0
487,Heyward Gibbes Middle,500 Summerlea Drive,Columbia,0,0,0,0
488,Hickory Grove-Sharon Elem,4901 Hickory Grove Road,Hickory Grove,0,0,0,0
489,Hickory Tavern Elem/Middle,163 Neely Ferry Road,Gray Court,0,0,0,0
490,High Point Academy,6655 Pottery Road,Spartanburg,< 5,0,< 5,0
491,Hillcrest High,3665 South Industrial Drive,Simpsonville,< 5,< 5,< 5,< 5
492,Hillcrest Middle,510 Garrison Road,Simpsonville,0,0,0,0
